"Ano","Trimestre","UF","V1022","V2007","V2009","V2010","VD2003","VD3005","VD4016"
"2021","1","Rio Grande do Sul","Rural","Homem",15,"Parda",3,"8 anos de estudo",NA
"2021","1","Alagoas","Urbana","Homem",38,"Parda",1,"12 anos de estudo",1590
"2021","1","Amapá","Urbana","Mulher",20,"Parda",3,"11 anos de estudo",NA
"2021","1","Ceará","Urbana","Mulher",89,"Parda",7,"Sem instrução e menos de 1 ano de estudo",NA
"2021","1","Pará","Rural","Mulher",85,"Parda",7,"Sem instrução e menos de 1 ano de estudo",NA
"2021","1","Rio Grande do Sul","Urbana","Mulher",44,"Preta",2,"16 anos ou mais de estudo",3000
"2021","1","Ceará","Urbana","Homem",73,"Branca",2,"Sem instrução e menos de 1 ano de estudo",NA
"2021","1","Maranhão","Rural","Mulher",7,"Parda",3,"1 ano de estudo",NA
"2021","1","Bahia","Urbana","Mulher",49,"Parda",5,"5 anos de estudo",NA
"2021","1","São Paulo","Urbana","Homem",22,"Branca",3,"12 anos de estudo",NA
"2021","1","Rio Grande do Sul","Rural","Homem",33,"Branca",3,"12 anos de estudo",3000
"2021","1","Minas Gerais","Urbana","Homem",5,"Parda",4,"Sem instrução e menos de 1 ano de estudo",NA
"2021","1","Goiás","Rural","Homem",18,"Parda",4,"7 anos de estudo",NA
"2021","1","São Paulo","Urbana","Mulher",4,"Branca",5,NA,NA
"2021","1","Acre","Urbana","Mulher",27,"Parda",2,"Sem instrução e menos de 1 ano de estudo",NA
"2021","1","Rio Grande do Sul","Urbana","Mulher",22,"Branca",4,"12 anos de estudo",NA
"2021","1","Paraná","Urbana","Homem",0,"Branca",3,NA,NA
"2021","1","Amazonas","Rural","Homem",21,"Parda",7,"7 anos de estudo",NA
"2021","1","São Paulo","Rural","Homem",74,"Branca",2,"2 anos de estudo",NA
"2021","1","Bahia","Urbana","Homem",26,"Parda",4,"13 anos de estudo",1650
"2021","1","Pernambuco","Urbana","Mulher",58,"Parda",1,"7 anos de estudo",NA
